"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000166546",11.3557127873979,0.131307472307465,0.840350402073529,0.156253239105341,0.875833413308384,0.930074831701615
"ENSG00000133114",509.072483074177,-0.0252741277575757,0.163101995460376,-0.154959034598174,0.876853612782021,0.931086403516284
"ENSG00000197816",24.5975886026221,0.086788066315997,0.560611002864701,0.15480978052966,0.87697128042532,0.931139540420746
"ENSG00000149923",836.536579093468,0.0235021903874585,0.152093434408128,0.154524687268173,0.877196047361793,0.93130637490358
"ENSG00000136531",12.3473123410923,-0.122930193453271,0.798070213640573,-0.154034308450754,0.877582684159461,0.931581936283008
"ENSG00000142207",1209.07900080502,-0.0203073863260464,0.131845708265136,-0.154023870729332,0.877590914047999,0.931581936283008
"ENSG00000168904",96.2697607227031,-0.0458428732974431,0.298647791877717,-0.153501464079847,0.878002835822626,0.931947351714596
"ENSG00000138463",687.625146672157,0.0226541534674492,0.147835652038197,0.153238769911847,0.878209984740446,0.932095373459585
"ENSG00000163257",2153.76133639283,-0.0203493770313436,0.132958793192906,-0.153050253711459,0.878358645357796,0.932109455717264
"ENSG00000188522",407.377831330869,-0.0269855490007353,0.176308492167545,-0.153058702215495,0.878351982921691,0.932109455717264
"ENSG00000130724",5145.20337365699,0.0165207691679629,0.108097915167974,0.152831524477518,0.878531136826388,0.932220655283796
"ENSG00000019505",8.59960259684966,-0.144820777403354,0.94834142938434,-0.152709533630067,0.878627342203428,0.932250895800185
"ENSG00000145375",536.852173072568,-0.0257461265657966,0.169119817667978,-0.152236011845414,0.879000791627381,0.932503420904338
"ENSG00000167378",508.191825354698,0.0236209224675233,0.155142950641818,0.152252631330041,0.878987683987459,0.932503420904338
"ENSG00000164109",1979.75281177942,0.023795692608554,0.156440208446913,0.152107267337405,0.879102332400672,0.932539292359388
"ENSG00000100387",553.453357951566,0.0247553330790227,0.162848245693102,0.152014736011806,0.879175313070938,0.932544864469127
"ENSG00000115241",3953.85029808579,0.0173354393499258,0.114221420374706,0.15177047608983,0.879367969005474,0.932594915584444
"ENSG00000145388",996.578177686001,0.0209308190443442,0.137977540421825,0.151697290590588,0.879425694236939,0.932594915584444
"ENSG00000157796",811.466372878297,-0.0228739071737261,0.150707846475018,-0.151776484826341,0.879363229629159,0.932594915584444
"ENSG00000139574",8.10181746292565,-0.148034042862077,0.977315235428841,-0.151470106569167,0.879604890239389,0.932713110027428
"ENSG00000261934",25.8678644836715,-0.0875772957942394,0.579248111175628,-0.151191335982943,0.879824784615519,0.932730786831774
"ENSG00000083814",236.679469157697,0.031343870378171,0.207253199354594,0.151234675632409,0.879790597669742,0.932730786831774
"ENSG00000233056",18.8173413121609,0.0981100331271678,0.648359873564267,0.15132033478232,0.879723029145734,0.932730786831774
"ENSG00000139714",53.2114269189967,0.0589718145473173,0.390277232012943,0.151102369572411,0.879894963315802,0.932733370536245
"ENSG00000189283",35.4736839260234,0.072215191124942,0.479025303173121,0.150754439580915,0.880169427351932,0.932952490008372
"ENSG00000181061",663.868125168271,-0.0218509258619284,0.145113915366527,-0.15057774305612,0.880308819646684,0.933028414880701
"ENSG00000166246",29.8851288383945,-0.0785377489897517,0.522734233819172,-0.150244127720397,0.880572012108335,0.933163706204854
"ENSG00000180901",677.074745914846,-0.0227322133499545,0.151271001257166,-0.150274759610462,0.880547845754645,0.933163706204854
"ENSG00000102241",3787.9461143038,0.0159477181027572,0.106398162489813,0.149887157161048,0.880853644348011,0.933318493961352
"ENSG00000128203",24.0084275630874,0.0913974997292569,0.609519828978715,0.149950002254067,0.88080406156214,0.933318493961352
"ENSG00000162676",4.42994762850561,-0.194962406661668,1.30257277176261,-0.14967486722285,0.88102113783101,0.933352315672476
"ENSG00000114993",539.697742220064,-0.0228300252415008,0.152446510092787,-0.149757611555721,0.880955853196799,0.933352315672476
"ENSG00000159459",1210.85191577402,0.020046263384585,0.134390474230631,0.149164317630006,0.881423975352412,0.933635411695312
"ENSG00000105136",656.576250920358,0.0220938477374473,0.148067267618484,0.14921493516295,0.881384035369822,0.933635411695312
"ENSG00000054277",5.44585761256912,0.177458700818469,1.19310731302402,0.148736579586196,0.881761495931275,0.933921079805979
